Programa Bolsa Família (PBF) - valor total dos benefícios
Sigla;Código;Estado;2013.01;2013.02;2013.03;2013.04;2013.05;2013.06;2013.07;2013.08;2013.09;2013.10;2013.11;2013.12;2014.01;2014.02;2014.03;2014.04;2014.05;2014.06;2014.07;2014.08;2014.09;2014.10;2014.11;2014.12;2015.01;2015.02;2015.03;2015.04;2015.05;2015.06;2015.07;2015.08;2015.09;2015.10;2015.11;2015.12;2016.01;2016.02;2016.03;2016.04;2016.05;2016.06;2016.07;2016.08;2016.09;2016.10;2016.11;2016.12;2017.01;2017.02;2017.03;2017.04;2017.05;2017.06;2017.07;2017.08;2017.09;2017.10;2017.11;2017.12;2018.01;2018.02;2018.03;2018.04;2018.05;2018.06;2018.07;2018.08;2018.09;2018.10;2018.11;2018.12;2019.01;2019.02;2019.03;2019.04;2019.05;2019.06;2019.07;2019.08;2019.09;2019.10;2019.11;2019.12;
MA;21;Maranhão;151948,929;153125,675;162156,955;162053,413;163160,748;162973,08;165837,638;167213,62;168014,36;168329,47;167911,58;168810,71;167136,796;167496,296;167255,612;168316,92;166953,952;188448,389;193508,297;191561,482;191916,597;191655,08;191585,728;191177,016;190069,75;190232,794;190178,697;188275,797;188452,433;187716,185;186989,268;185584,344;181550,201;180821,942;179049,394;180221,042;181234,328;181195,802;180859,945;181850,932;181903,084;182188,069;204760,068;204577,068;204877,723;204973,747;202323,67;202413,886;202664,466;204103,87;201979,364;199873,189;199570,757;198760,316;194375,64;201649,815;200585,223;202078,28;203077,292;204102,571;205019,167;204502,494;204527,629;200775,139;202400,411;200368,766;213092,276;214105,338;211866,721;212470,639;213545,085;211014,687;207647,756;208590,121;209645,742;207233,768;210575,117;206635,616;207278,53;206745,437;204422,002;204240,778;201248,934;201890,971;
MG;31;Minas Gerais;159688,677;156844,717;165344,791;162054,929;164944,345;164293,483;166020,109;164772,781;164985,153;165028,207;164410,688;166334,536;163030,562;164195,234;162657,858;162248,708;160226,862;182270,51;185119,194;182016,35;181959,419;181339,206;181527,066;179946,751;177340,388;177515,287;176947,748;173455,247;173085,981;172980,155;173725,7;172688,999;172658,762;170936,13;166915,316;169303,436;164855,91;164198,118;162191,646;163479,535;162977,784;163336,174;186177,039;185536,592;185459,622;187080,49;183316,963;177423,204;172117,848;175096,282;172619,224;172324,544;172165,457;171974,628;165001,554;173330,104;171958,957;173835,229;177182,489;178875,247;180107,528;180194,444;181345,044;175790,134;179738,881;174296,657;185822,594;188441,187;184497,793;187040,671;190423,027;188430,813;183706,287;186157,666;188426,148;188824,473;192321,033;188239,435;186448,426;186311,135;181725,155;182053,882;179237,536;179616,05;
MS;50;Mato Grosso do Sul;19793,384;19394,12;20289,898;19909,594;20415,204;20345,348;20779,876;20835,538;20946,992;21007,974;20820,564;21555,096;21142,182;21368,436;21373,174;21294,162;21066,27;24069,106;24392,077;23964,151;23949,557;23893,728;23866,724;23639,554;23355,801;23420,363;23341,119;22562,203;22415,573;22269,448;22187,388;22011,624;22204,218;22663,122;22028,737;22280,246;21806,421;21661,44;21445,249;21516,406;21386,283;21350,854;24061,914;23903,773;23826,021;23928,399;23336,373;22546,666;22032,937;22355,904;21928,239;21796,147;21563,975;21298,189;20251,329;21177,537;20868,247;21027,251;21266,764;21402,111;21474,198;21465,011;21558,647;20788,569;21148,488;20853,585;22120,624;22558,303;22237,142;22558,268;23053,766;22972,619;22151,085;22346,013;22670,124;22783,936;23210,075;22556,977;22172,64;22106,364;21469,358;21478,331;21036,205;21022,936;
MT;51;Mato Grosso;24836,42;24388,277;25402,207;25068,873;25569,407;25574,739;26075,125;26168,253;26318,923;26350,911;26180,518;26744,582;26122,608;26433,792;26245,098;26290,272;25997,406;29621,451;30206,923;29765,015;29750,534;29645,295;29643,725;29384,155;28980,223;29000,692;28907,958;28067,711;28003,564;27887,136;27878,007;27661,14;27443,754;27564,495;26720,51;27043,489;26350,655;26140,156;25658,066;25735,773;25643,551;25655,087;28906,222;28715,402;28353,368;28455,819;27863,166;26829,109;25992,585;26417,416;25909,261;25742,745;25534,956;25385,227;24293,01;25716,663;25312,392;25489,088;25820,585;25899,819;26027,96;25930,63;25864,192;24768,129;25312,985;24678,125;26335,331;26624,308;26250,246;26601,279;27125,724;26926,718;25909,348;26187,804;26523,688;26539,306;27062,477;26341,88;25928,556;25949,288;25214,01;25185,196;24709,549;24648,134;
PA;15;Pará;128556,628;129133,5;136493,864;136177,836;137651,484;137460,76;139606,08;141071,742;142005,412;142210,652;142417,931;145695,375;144290,092;144843,22;146188,94;146484,722;145411,88;165016,769;168906,854;166782,1;167612,829;167260,22;167348,812;166885,353;165284,673;165481,551;165450,848;163513,34;163517,549;163008,176;163033,414;162092,297;160128,209;162763,31;161065,304;161941,884;163949,987;163518,188;163207,161;163897,866;163832,863;163938,055;183766,022;184111,941;185251,901;185240,008;182548,84;182304,072;182726,692;183746,533;182750,35;181546,103;180037,868;179078,923;174364,337;181223,885;179863,321;181712,219;182089,675;183218,549;183909,317;183408,165;183672,992;181129,736;183189,056;182554,474;193830,805;195147,901;193358,186;194333,238;196756,394;194953,079;192441,296;193612,42;195130,922;193932,6;198035,11;194383,52;194352,929;194313,387;191451,693;191466,955;187978,171;188501,912;
PB;25;Paraíba;73386,99;73409,804;78197,736;77582,996;78788,794;78879,98;79715,06;79830,778;80117,716;80496,996;80048,226;81109,498;80398,27;80876,224;81212,31;81440,584;81034,942;91717,523;94616,308;93928,041;94050,392;94003,963;94106,066;93855,476;93396,549;93610,413;93624,074;92611,812;92725,123;92384,689;91831,678;91024,474;89599,073;89081,779;88711,641;89607,489;90823,443;90751,404;91310,285;91695,008;91549,532;91705,356;102564,981;102553,143;102383,024;102505,191;100057,904;99154,103;98888,301;99701,068;99028,377;98437,281;98002,529;97787,54;94912,23;98594,543;97508,842;98550,289;99393,942;100128,071;100698,228;100145,605;100362,233;98601,369;99960,201;97192,897;103585,451;104762,683;104367,939;104716,221;105820,501;105434,411;103714,51;104642,716;105233,141;104535,43;105862,355;104329,144;104066,13;104292,143;103183,796;103499,173;102396,912;102840,67;
PE;26;Pernambuco;159034,322;158907,142;167048,08;165629,168;167040,726;166411,478;167975,416;169202,202;169960,354;170471,154;169325,42;170804,554;168470,34;168688,036;168008,07;168074,054;166064,468;187679,045;192085,448;190475,002;190674,444;190570,038;190400,493;189802,558;188218,732;188397,871;188252,453;183592,711;183957,269;183451,602;183080,672;181702,565;181108,165;180526,088;177996,247;179455,1;180473,943;180154,299;178800,071;179649,971;179645,81;179698,238;202578,262;202394,064;202222,132;202875,544;199117,437;196698,714;197044,193;198847,549;197644,851;196696,575;195903,157;195069,148;190518,436;198695,753;198182,595;200106,874;202042,829;203359,369;203883,658;202893,982;203475,523;200613,641;202595,02;197902,588;210103,103;211934,036;211074,176;213142,395;216087,64;215310,797;211486,438;213332,106;215088,723;215112,75;217487,996;215281,178;213952,687;214255,766;212045,626;212366,815;210126,867;210476,034;
PI;22;Piauí;69412,531;70215,418;75390,756;75147,676;75918,828;75812,784;76791,052;76825,944;76822,943;77012,903;76685,592;77227,38;76412,528;76665,102;76125,824;76543,444;75803,244;85598,16;87857,43;86982,996;87169,686;87078,345;86978,978;86840,734;86403,068;86371,233;86317,765;85189,115;85207,533;84859,528;84392,401;83456,127;82328,596;82241,497;81669,88;82155,977;82982,147;82941,289;82873,901;83303,607;83353,004;83430,345;93533,662;93300,614;93005,846;93051,106;90996,455;90178,036;90037,246;90676,532;90223,095;89647,034;89070,477;88879,513;86510,068;89359,444;88976,85;89524,906;89927,42;90456,492;91154,695;90989,12;91365,087;89980,293;90778,798;89478,971;94789,527;95174,494;94238,333;94681,375;95760,245;95067,122;93796,821;94791,492;95519,195;95109,555;96462,096;94994,176;94891,094;94850,147;93852,622;93964,95;93059,538;93293,264;
PR;41;Paraná;56687,601;54787,823;57423,835;55974,362;57032,108;56752,55;57126,008;56386,304;56169,846;56001,328;55865,346;56811,402;55345,692;55749,262;55068,738;54769,128;53631,34;61163,175;61580,084;60473,5979999999;60232,573;59800,576;59855,739;59507,256;58397,841;58765,538;58395,126;56381,172;56103,472;56581,001;57123,668;56880,634;57767,666;56973,01;54739,417;55967,728;54174,396;53784,7;53174,886;53640,423;53215,994;53577,283;61087,959;60720,101;60715,208;61111,954;59346,664;56425,329;54596,858;55479,514;54323,355;54466,479;54484,023;54356,412;51364,863;54724,221;54057,532;54390,57;55848,117;56450,589;57045,841;56985,508;57427,721;55055,755;56380,373;55592,821;58757,485;59936,294;58721,759;59841,593;61313,829;61071,252;58999,954;59675,898;60669,654;61035,684;62496,8;60856,005;59612,176;59353,582;57104,828;57055,023;55975,354;55838,776;
RJ;33;Rio de Janeiro;109325,394;108318,562;117639,046;115460,49;117937,68;116458,338;118655,836;118497,508;118753,324;118887,88;119933,382;122991,846;121405,634;122251,968;121751,886;121963,09;119698,03;135917,328;136050,824;134189,744;134606,591;134279,313;134056,506;133315,138;131613,144;132319,521;132118,238;130321,791;130305,981;131295,824;132791,19;132635,922;132179,825;131729,021;129655,224;130779,235;126986,368;126538,289;122234,709;123562,56;123493,798;123331,413;140750,471;140393,102;140663,18;142248,799;139238,306;138663,497;134090,977;135887,255;134236,599;133375,206;131235,692;132199,184;126399,964;133047,277;133024,772;135251,137;137519,924;140014,608;142245,465;142706,363;143953,386;139650,901;143201,11;141066,51;149432,631;152692,952;151992,411;155489,687;159877,86;158598,08;154621,541;156974,508;160092,213;160619,176;164467,913;161828,726;159911,28;159884,423;156769,85;157358,342;153345,593;154134,486;
RN;24;Rio Grande do Norte;50610,72;50444,944;53301,19;52820,644;53396,33;53220,27;53835,184;53794,164;54085,486;54119,542;53729,486;54384,492;53561,87;53684,982;53706,27;53544,706;52932,84;59924,296;61562,699;60966,054;61140,275;60966,612;60899,034;60645,564;60004,638;59996,964;59905,246;58469,329;58469,136;58223,886;58229,383;57655,644;57778,067;57505,028;56709,933;57246,186;56947,919;56752,838;56289,45;56490,657;56372,895;56305,768;63418,245;63267,936;63158,264;63294,742;62163,475;61174,333;60210,843;60809,457;60247,432;59902,744;59630,56;59415,757;57739,995;60185,46;59668,772;60210,75;60588,207;61069,695;61333,852;61212,185;61414,142;60462,873;61433,173;60378,869;64618,274;65323,436;64984,491;65722,357;66664,93;66237,305;65341,029;66086,131;66421,601;66326,177;67143,107;66086,584;65923,406;65906,733;65075,134;65188,333;64434,084;64609,592;
RO;11;Rondônia;16461,952;16120,69;16937,156;16728,64;16741,232;16602,178;16960,652;16948,312;16946,352;16892,302;16754,7;16976,094;16537,79;16595,104;16458,768;16419,982;16202,658;18329,26;18703,984;18305,522;18281,458;18118,137;18100,144;17828,767;17484,22;17407,294;17357,863;16896,489;16856,523;16740,528;16614,018;16405,698;16004,934;15832,196;15388,869;15459,857;14843,113;14637,601;14108,745;14134,381;14041,283;14048,951;15654,069;15569,734;15442,143;15374,953;14991,369;14403,149;13622,591;13692,316;13473,303;13297,651;13023,303;12950,163;12252,849;12763,643;12411,721;12503,032;12391,272;12421,276;12398,42;12355,862;12340,125;11924,119;12052,432;12049,717;12741,198;12908,857;12644,971;12739,112;12923,341;12584,145;12118,141;12169,696;12294,643;12300,288;12461,625;12119,356;11981,233;11912,886;11596,643;11552,379;11137,371;11116,51;
RR;14;Roraima;7584,477;7542,285;7787,245;7704,739;7771,087;7738,909;7814,899;7781,807;7766,519;7791,093;7795,058;7893,666;7830,198;7832,488;7777,998;7818,95;7769,864;8863,873;9213,129;9090,654;9203,454;9175,645;9181,77;9144,478;9079,06;9208,082;9204,801;8812,899;9055,989;8880,465;8930,846;8926,234;8624,158;8548,042;8537,602;8663,182;8712,6;8703,216;8907,403;8968,104;8983,935;9047,047;10184,922;10216,557;9966,791;9870,217;9730,225;9824,455;9694,704;9821,827;9729,963;9692,696;9596,459;9558,937;8846,464;9223,132;8996,698;9061,283;8914,579;8955,134;9063,988;9113,72;9230,213;8926,708;9116,447;9154,24;9779,04;9915,713;9911,164;10079,706;10226,047;9974,46;9834,124;9882,969;10083,859;10132,893;10372,027;10131,527;10102,818;10159,867;9965,471;9892,802;9737,335;9751,556;
RS;43;Rio Grande do Sul;62197,88;61062,918;63589,54;61872,442;63483,672;62832,328;63944,24;63535,406;63591,67;63590,052;63142,928;63995,796;62916,126;63155,664;62651,774;62467,248;61431,95;69511,922;70186,185;68647,55;68508,131;68201,462;68360,624;67734,303;66680,845;66962,546;66692,961;64221,758;63951,909;64034,371;64511,038;63949,495;63746,742;63500,279;62789,103;63622,523;61601,745;61114,15;59148,326;59234,24;58696,829;58850,682;66490,543;66195,846;65121,757;65514,289;63386,969;61770,264;58983,395;60155,603;58725,997;58281,881;57595,907;57559,921;54591,833;57469,583;57120,313;57461,593;58167,039;58956,308;59562,564;59806,05;60346,53;58589,587;59707,166;57635,654;60894,734;61990,77;60621,823;61509,853;62984,25;62532,644;60279,755;61002,213;61778,929;61964,565;63317,734;61801,042;60601,883;60327,722;58434,451;58404,512;57049,71;57131,513;
SC;42;Santa Catarina;19734,458;19269,332;20364,126;19781,232;20223,606;20121,034;20278,566;20022,612;19990,898;19881,824;19849,5;20247,14;19681,462;19814,822;19479,688;19381,15;19048,632;21742,936;22003,235;21589,677;21557,773;21344,897;21612,596;21384,408;20975,715;20908,721;20685,532;20380,254;20352,283;20423,524;20562,824;20345,529;20625,99;20023,258;19187,253;19550,184;18746,651;18615,683;18096,771;18311,106;18169,291;18487,618;21267,449;21290,86;20998,803;21377,601;20671,163;20010,809;19058,04;19413,819;18942,429;19035,002;18946,848;19042,076;17884,548;18999,3;18779,405;18974,344;19511,449;19702,858;19979,08;19889,755;20065,965;18880,143;19492,085;19059,756;20306,664;20789,296;20214,245;20751,836;21377,86;21221,556;20459,175;20649,179;21055,012;21156,688;21787,883;20999,861;20502,716;20462,631;19500,38;19527,858;18984,261;19008,002;
SE;28;Sergipe;37691,074;37588,954;39069,678;38687,726;38983,658;39097,512;39548,978;39972,36;40218,304;40375,514;40097,814;40260,614;39712,37;39793,86;39925,464;39860,928;39504,588;44649,107;45991,791;45368,179;45426,019;45282,715;45257,513;45078,319;44600,231;44670,813;44559,272;43494,37;43497,708;43151,066;43106,337;42754,344;41827,703;41639,736;41148,569;41491,218;41440,513;41363,683;41074,091;41242,839;41256,693;41186,21;46218,361;46366,924;46582,088;46639,142;45786,263;45475,08;45135,522;45426,56;45029,938;44788,218;44812,257;44706,248;43534,125;45331,742;45112,856;45515,947;46030,981;46298,43;46456,395;46369,09;46539,267;45842,409;46490,478;45709,415;48646,096;49103,101;48928,285;49372,221;49979,25;49823,65;48884,806;49191,923;49564,496;49508,137;50206,734;49496,217;49207,062;49253,959;48716,835;48747,107;48279,674;48341,887;
SP;35;São Paulo;163147,004;165861,456;175738,498;170437,748;176491,158;174971,052;177940,188;176797,728;176971,672;176683,628;182671,725;185832,791;184777,77;186483,736;184947,29;185779,992;181240,896;207182,63;203943,337;197934,327;198707,034;198062,636;202655,806;203414,518;200835,265;203673,811;202961,09;206100,433;204925,424;206380,999;212673,749;211200,956;215795,69;213886,88;209505,359;212888,004;208693,312;207515,102;204301,806;207507,458;207012,517;208243,929;241066,495;240449,712;240457,912;243845,123;237550,239;235764,12;232152,671;236921,815;233091,285;233407,46;231541,302;231106,567;215190,565;235622,247;234333,06;235873,822;241921,729;245225,037;249212,112;250724,221;252899,293;241769,219;245948,792;243890,825;255594,49;260494,554;254203,835;260421,744;268112,286;264549,569;256748,069;259965,189;264074,628;265293,089;271642,921;264390,146;258969,268;257953,335;249361,227;249123,527;240167,737;240361,837;
TO;17;Tocantins;20763,378;20476,328;21687,944;21475,71;21770,79;21810,366;21967,088;21835,162;21892,222;21931,514;21786,884;22217,994;21821,2;21971,252;21941,558;21837,112;21666,538;24556,114;25089,838;24608,041;24613,694;24497,532;24434,919;24345,752;24019,365;24019,366;23905,762;23404,353;23349,351;23156,708;23075,81;22882,543;22713,328;22972,217;22516,381;22784,304;22426,587;22365,366;22251,925;22356,13;22224,25;22207,466;25015,782;24889,933;24801,751;24815,095;24392,162;23601,87;22951,694;23298,564;22939,468;22718,412;22544,598;22341,757;21574,849;22418,855;22006,595;22169,716;22520,39;22578,3;22679,562;22583,606;22611,309;21942,553;22046,813;21686,764;22952,176;23104,172;22642,405;22777,423;23074,034;22789,513;22226,905;22431,792;22672,725;22617,578;22866,079;22349,893;22156,486;22054,755;21620,381;21568;21212,593;21160,501;
