Sigla;Código;Estado;2012.01;2012.02;2012.03;2012.04;2012.05;2012.06;2012.07;2012.08;2012.09;2012.10;2012.11;2012.12;2013.01;2013.02;2013.03;2013.04;2013.05;2013.06;2013.07;2013.08;2013.09;2013.10;2013.11;2013.12;2014.01;2014.02;2014.03;2014.04;2014.05;2014.06;2014.07;2014.08;2014.09;2014.10;2014.11;2014.12;2015.01;2015.02;2015.03;2015.04;2015.05;2015.06;2015.07;2015.08;2015.09;2015.10;2015.11;2015.12;2016.01;2016.02;2016.03;2016.04;2016.05;2016.06;2016.07;2016.08;2016.09;2016.10;2016.11;2016.12;2017.01;2017.02;2017.03;2017.04;2017.05;2017.06;2017.07;2017.08;2017.09;2017.10;2017.11;2017.12;2018.01;2018.02;2018.03;2018.04;2018.05;2018.06;2018.07;2018.08;2018.09;2018.10;2018.11;2018.12;2019.01;2019.02;2019.03;2019.04;2019.05;2019.06;2019.07;2019.08;2019.09;2019.10;2019.11;2019.12;
MA;21;Maranhão;17181;15674;16112;14191;15727;16454;15810;17308;13544;17243;16815;18422;18755;15824;17094;16849;17464;16703;16449;17213;15505;15158;15702;15118;19374;16547;17550;15876;16759;15990;16739;15675;14205;19036;19299;17225;18300;16198;16417;15480;18831;15142;15222;15736;13932;15466;14692;16102;14159;15376;14493;12866;12520;12539;12383;12851;12282;11298;13320;13113;13196;12397;13166;10068;11807;10740;10648;11447;11268;10874;12010;10704;12252;10675;10653;10633;12128;10703;10520;12221;10106;11890;11519;10688;12105;12081;11701;11640;12037;11424;12174;12031;11444;11133;11302;12799;
MG;31;Minas Gerais;174393;174458;197326;179830;189944;190661;200635;216702;199118;201927;190805;198211;194990;183520;196347;197824;200637;194803;209404;206786;197098;209946;188961;179300;189544;189315;194591;194259;200630;180819;208173;198218;198340;195052;178356;195437;181438;178804;184638;171159;171127;168146;180568;170528;169325;158925;145271;163668;139061;140506;155987;140546;141088;142191;150237;153015;142417;131018;132501;146299;136695;129713;144115;120781;136267;131481;135630;148877;130160;128411;126324;137000;131395;127298;136431;131418;138857;131388;140903;150480;134941;147427;130523;142853;140224;138702;139766;140085;151736;137518;153280;150104;146552;145753;137076;146989;
MS;50;Mato Grosso do Sul;21065;21737;22827;21337;20721;20689;22103;24756;20704;21020;22221;24909;24913;23081;23732;23233;23398;23768;25445;23846;22796;22973;21347;21040;24030;23816;24997;26675;24278;22662;24135;22535;23062;25937;22948;25033;25064;22675;25358;22394;20721;21373;22701;21774;22585;18713;19334;20357;18848;19260;20883;19579;18015;18268;17980;18546;17139;16643;19226;20179;19639;18862;20311;17887;20262;18616;20418;20167;18545;16762;18637;19445;17956;18048;20772;18944;19690;17153;18115;18242;20747;17958;17672;25180;19461;18616;19923;19292;18996;18456;19745;19145;18982;18684;19367;19628;
MT;51;Mato Grosso;30039;30145;36533;33026;34048;32693;32338;36277;32268;35191;37646;36232;34869;34797;39653;37366;35319;34351;37174;37477;35490;39289;35967;34493;34252;35058;41373;39791;39270;36736;38270;37431;38483;41037;39080;41408;35258;34555;39300;38074;36239;34575;36204;34114;33719;33932;33062;33532;27658;29423;35606;32001;29593;27760;27952;30942;27526;28099;31835;29771;25965;25458;33169;26260;28177;26362;26289;29585;27492;29156;30003;29270;27166;27670;32759;29661;29921;26599;28702;30351;27408;30105;29899;32238;29918;31688;34596;30300;31291;28155;32816;31019;30828;32879;31154;32723;
PA;15;Pará;27130;24833;28345;23933;26499;28044;24926;29395;24454;28250;28479;30920;32054;27416;29146;28864;30003;29716;28451;31517;26990;31816;29434;23824;32039;29519;30838;29537;30788;28832;28794;31334;29173;33667;32414;37269;32286;30260;29883;29848;27712;30957;26257;30494;27752;33024;30454;30931;25746;24057;27040;22565;24501;24417;22750;25179;21653;23730;23469;25175;24170;22301;22520;18944;22302;21196;18150;23066;18889;19605;19878;21908;25227;19594;20237;18138;20246;20690;18626;20572;19267;22379;20455;22927;23581;23165;22472;20236;21062;20985;20841;22526;20182;21837;20530;23228;
PB;25;Paraíba;11721;14583;15438;11550;10580;10003;11624;12095;10109;11029;10941;10182;15609;15700;14800;12248;12707;10955;13195;12495;11417;12237;11035;9111;13631;13950;16001;15395;13539;11229;13790;13256;12090;12907;11474;12666;14523;14557;18402;14912;13424;11723;13546;12031;11382;11154;10259;11667;11351;15384;14305;10314;10804;9971;10124;9887;8439;9682;9365;10684;16938;10643;10554;8384;9399;8513;9408;9850;8277;8313;8040;9060;12950;13921;9962;9393;9803;8714;9301;9670;8204;8822;8322;10131;16920;10175;9620;9247;9330;10300;10145;9940;8429;9831;8913;11188;
PE;26;Pernambuco;45350;46117;57877;49996;46620;42434;46131;46374;43696;49626;48098;45442;57743;48380;55580;52201;49544;43297;49958;46839;43282;52360;44227;39372;52985;51052;49792;60788;59619;43373;49320;43363;43115;52213;52910;46988;52092;48042;52768;59352;44800;41953;44752;40919;37335;41114;36838;40077;42058;42458;41744;37030;32212;31810;34919;32246;28602;32751;32976;38867;43441;44081;32951;26919;30186;27874;27762;31721;28074;27338;30070;34254;34265;34346;39596;30433;29841;28230;28723;29721;25570;31496;30533;37764;36411;42804;33649;30576;29929;29087;30112;30903;31190;30982;29608;30095;
PI;22;Piauí;8550;7870;8717;6763;8182;8082;7802;8666;8100;7343;9788;8354;9404;8335;8112;7923;8295;8394;9359;9550;9850;7540;9615;7376;9222;9115;8646;8301;9333;9497;9264;9580;10543;8911;9700;9774;10819;9680;9745;9571;9524;10649;9804;10366;10088;8472;9637;9546;9785;10534;8718;8150;8122;8923;8046;8175;7634;8791;7585;7172;7885;8191;8209;6343;6681;7788;6802;7724;6431;6457;8067;6281;7503;7251;6734;6550;6677;6939;6918;7254;6400;7076;6721;7056;8498;8456;7311;6821;8029;7291;7619;7812;7293;7394;7237;8231;
PR;41;Paraná;120772;123534;134222;117210;119003;119642;123953;129390;114989;123208;116958;125539;129523;126258;131450;131734;128157;125528;134000;128288;118366;127487;113557;119427;126135;133040;135482;128557;128398;121483;130238;123436;121222;129422;114411;129047;119086;123958;125589;117322;110253;113632;116196;105940;101435;98858;91744;107504;91047;104277;109018;94272;91555;94504;91075;91340;81703;83426;88772;93522;87376;90999;100533;79190;89914;89467;85888;91513;83199;82303;81738;89713;86483;94935;97483;88663;92781;88902;90734;93898;82004;90104;83047;98479;95270;101124;100459;93948;98030;90834;100808;96252;88666;97211;89584;97544;
RJ;33;Rio de Janeiro;142208;130007;146587;131122;139673;143282;143424;148152;127448;138135;134322;144141;173971;137430;150721;149647;158895;150213;154943;150359;140521;155862;131593;117841;163655;145612;152130;148778;156815;141829;157993;144386;142686;151002;137060;141910;165809;144605;152816;140588;139399;137440;141809;133090;127660;128585;115788;135800;123227;121815;133239;122286;117990;121274;122684;130231;122919;109177;108588;123574;115652;101068;107313;88696;95850;93702;96499;97397;95744;88399;86926;96642;98450;93826;98389;86959;94228;88258;89978;94395;81665;92412;82814;101315;104758;94249;98093;88517;100218;91523;102746;94806;87761;105140;83310;95198;
RN;24;Rio Grande do Norte;16021;15870;15169;14771;15186;14235;14234;15331;12357;14953;14694;14541;18722;15096;14666;17114;15494;14963;15452;15468;13150;16009;15415;13544;17198;16322;16106;16640;17097;16237;17420;16392;14121;16212;15473;15952;16369;17648;15068;14942;15077;16129;14973;14768;12321;12643;12522;13376;14041;14728;14330;13422;12848;12460;11723;12119;10284;11531;11437;12313;14692;12154;12231;11588;11932;11491;10768;10925;10515;10109;10517;11879;12319;13052;11621;11449;11304;10945;11367;11311;10089;10136;10323;12076;13453;14094;12269;11829;11730;10215;12386;11525;10859;10372;9916;13132;
RO;11;Rondônia;12284;12475;12040;14802;11736;11958;12519;12951;12017;13499;13790;12640;12851;12559;11736;12324;14133;12534;14062;12721;11980;12942;13182;10627;12435;12174;11264;11627;12142;11729;13301;12654;12972;13714;13324;11701;12352;13286;11811;11749;11544;12241;11934;11922;11119;11278;11498;9475;9988;10368;9961;9419;9150;9781;9421;9262;8086;8755;9298;7592;9560;7941;9094;6903;7961;7804;7704;8157;7695;7751;8327;6773;8887;8650;8496;7903;8467;7847;8280;8717;7718;8663;8350;6885;9359;9070;9511;8369;9093;8129;9132;8740;8348;8884;8662;7760;
RR;14;Roraima;1764;1536;1555;1691;1875;1472;1514;1513;1265;1525;1545;1544;2843;1541;2709;1869;1868;2059;2136;1674;1406;1553;1808;1238;1789;1653;1761;1841;2064;1868;2346;1619;1656;2254;2276;1999;2304;2139;2202;2058;2004;2128;2201;1935;1480;1986;1740;1959;1741;1560;1849;1683;1689;1872;1744;1611;1322;1810;1693;1747;1569;1651;1776;1355;1670;1653;1521;1542;1185;1712;1369;1511;1543;1592;1604;1606;2010;1690;1488;1506;1167;1637;1438;1643;2057;1761;1803;1888;1868;1603;1567;1694;1459;1825;1663;1766;
RS;43;Rio Grande do Sul;117371;120320;134761;114597;123016;114347;114935;120703;101994;113449;110007;117415;124308;122684;126659;132168;128644;116467;128674;124504;110994;122595;113046;110430;125513;131594;135236;130527;129887;115906;125355;120723;118093;121096;110304;121882;113817;119584;128388;116468;113389;107886;106379;103403;93842;90939;88155;100860;85289;96681;105978;95888;93069;87400;87248;86480;76302;76683;79256;91084;84920;87614;102143;84386;92073;82990;80741;88109;76097;76363;77970;90494;82192;88819;97088;93271;93919;83164;85682;92408;76017;82959;77297;90060;88385;92390;103402;98136;96130;82608;92402;89229;79971;85330;78421;88849;
SC;42;Santa Catarina;94419;102931;107163;91114;94754;86962;89261;93065;84122;94426;85334;95437;98263;103590;104433;102406;99271;90151;98930;95872;89209;98557;86075;94478;99663;109633;111314;104200;103239;91177;101168;94552;95595;101494;90611;102276;97970;107754;106846;95032;89566;87716;90561;84556;79264;78921;73523;88030;74872;89416;89633;77148;73866;73025;70546;70108;64334;68238;68824;78813;72153;77907;88375;66200;74798;70323;71464;74290;65760;69161;68043;80747;74610;83361;85308;77180;80134;71108;75673;79006;68298;76750;70510;84318;81221;85726;91338;81512;85523;73966;80995;79414;74013;82872;75935;89599;
SE;28;Sergipe;8838;8498;10692;10997;9732;8773;8729;9435;8374;9903;9579;10391;9597;9220;14061;9337;9830;9486;9232;9677;8643;9834;8646;8327;9272;9043;11439;11798;11352;9335;10211;9459;9341;10303;8727;9307;9278;9066;9307;11004;12412;8626;8992;8587;8621;8609;7653;8473;7270;8366;13090;7886;8069;7647;7369;8804;6588;7225;7117;7622;7837;9867;8564;5689;6828;6840;6483;6607;6380;5517;6656;6106;7732;7256;9570;6219;6568;6107;6919;7562;5650;6227;6500;6716;8439;9429;7167;5812;6948;5952;6630;7562;5948;6412;6030;6831;
SP;35;São Paulo;491481;499904;542702;490495;511830;496082;483609;524255;465458;498565;470774;551753;527205;505199;522478;529123;533869;500432;514992;517927;486613;528704;478394;500208;535342;536421;523050;533390;541703;488765;505922;489558;494121;528327;486421;530781;498810;498120;508017;487108;473627;486253;452942;431792;426470;419277;383619;481124;392672;416748;457363;402236;381932;395680;361375;376063;354600;351869;369802;416296;369511;355364;397050;331650;365224;362024;333017;359340;338720;342438;345165;391896;369067;365870;395319;369845;383947;365840;348663;373894;335173;374279;340780;399560;387121;387630;393809;392326;411897;371365;376509;380470;362033;400329;373742;400096;
TO;17;Tocantins;5218;4985;5140;4841;5426;5841;5556;6542;5676;5501;5620;5818;5683;6611;5120;5586;5757;5808;5680;6343;5341;5521;5667;5115;5796;5668;6005;6349;6426;6595;6743;6599;6949;7069;7131;7383;6859;6639;6989;6844;6661;6878;6926;6609;6228;5548;6354;5816;5232;5144;5947;5653;5443;5786;5842;5651;4759;4712;6165;5251;5801;5002;5247;4726;5239;5215;5047;5610;4745;4740;5601;5381;5713;5539;5528;5070;5704;5232;5214;5669;5238;5432;6221;5780;6190;5358;5618;5419;5719;5230;5783;5488;5440;5289;5326;5654;
