Sigla;Código;Estado;2012.01;2012.02;2012.03;2012.04;2012.05;2012.06;2012.07;2012.08;2012.09;2012.10;2012.11;2012.12;2013.01;2013.02;2013.03;2013.04;2013.05;2013.06;2013.07;2013.08;2013.09;2013.10;2013.11;2013.12;2014.01;2014.02;2014.03;2014.04;2014.05;2014.06;2014.07;2014.08;2014.09;2014.10;2014.11;2014.12;2015.01;2015.02;2015.03;2015.04;2015.05;2015.06;2015.07;2015.08;2015.09;2015.10;2015.11;2015.12;2016.01;2016.02;2016.03;2016.04;2016.05;2016.06;2016.07;2016.08;2016.09;2016.10;2016.11;2016.12;2017.01;2017.02;2017.03;2017.04;2017.05;2017.06;2017.07;2017.08;2017.09;2017.10;2017.11;2017.12;2018.01;2018.02;2018.03;2018.04;2018.05;2018.06;2018.07;2018.08;2018.09;2018.10;2018.11;2018.12;2019.01;2019.02;2019.03;2019.04;2019.05;2019.06;2019.07;2019.08;2019.09;2019.10;2019.11;2019.12;
MA;21;Maranhão;16281;14863;14475;14816;17457;18319;19210;18742;15376;17265;16497;10595;15522;14607;16365;16113;15628;17437;18025;20748;18418;18721;16355;9314;14854;15681;14913;15442;17455;17169;20180;19593;17757;16244;15331;11416;14210;13938;15758;14745;17569;17143;17343;16683;14153;13155;11457;8778;10918;9543;12186;9835;12324;12556;12597;15097;10684;10888;11572;8366;11047;10434;10365;8909;12589;12271;12215;13181;11259;11806;11707;9717;11666;10303;11670;11965;14203;13510;12373;12155;11835;12554;11239;7770;10739;11099;10871;18321;11931;13425;12199;13526;13205;14353;12465;9378;
MG;31;Minas Gerais;190935;195489;220000;208716;222628;229145;219851;213915;197938;196888;186370;141169;202470;193444;215939;221347;226553;222867;221037;205072;204023;203650;177019;128598;196755;212029;198292;209392;223555;196536;202976;188611;197500;186721;172796;130055;166905;181971;181169;164195;161103;177892;163856;146679;136902;134423;126537;98419;122643;137197;148008;144432;150392;146758;134892;139894;126179;125129;121099;94476;136510;138738;144109;135599;159198;146926;136750;139432;125869;132920;124287;100554;139731;134586;150580;154981;158680;143531;151235;155010;140141;150262;130890;104092;141716;164718;144929;162433;170116;149121;163889;155999;150393;158035;145458;111101;
MS;50;Mato Grosso do Sul;23035;24004;25832;27652;23943;22148;23999;25965;21835;21794;22508;16299;25297;26120;27370;27875;26064;25205;25340;26540;23757;25275;21275;12800;25046;28178;25570;26994;24844;22732;24824;23853;24404;24604;21746;14561;23794;24249;25406;22763;21255;21137;20633;20287;19770;18754;17385;13005;18685;20384;21070;20498;18577;18303;18632;19623;18507;17653;17830;12382;20510;21379;21556;18611;18926;18866;18591;19701;18346;17484;16193;12827;19545;21328;20126;20532;19403;17450;18903;19448;18102;19080;18392;13092;25555;22127;20449;21953;20093;19354;20951;20297;19899;19375;18537;13300;
MT;51;Mato Grosso;40181;36800;35727;37317;36189;40475;38165;37515;34919;36239;31736;23269;43965;40028;35477;39950;36242;41294;41570;40381;37939;40338;30763;21522;44516;42476;36259;40645;39956;40148;42011;38592;38557;39074;32879;22569;41574;39714;37086;34788;34315;38177;36974;33481;32506;29662;25475;19502;34558;33106;31654;28896;27881;30349;29968;28052;27000;25655;22798;17745;35975;29494;27442;26859;29903;32141;34374;31467;28521;29481;24199;19483;37435;32391;29741;31131;31985;32011;33888;34749;31394;32000;26472;22884;41442;33267;30007;32406;33046;35522;36985;35144;33726;34518;28717;23371;
PA;15;Pará;27760;26970;28199;28595;28715;34094;31685;31623;27947;29650;27949;19645;29048;29626;29832;29014;29958;32680;32193;33529;34307;34302;30607;16493;28381;31504;29701;32560;35992;34857;35081;36418;33963;31330;30134;20295;27651;29409;27221;26868;26539;29247;28891;29182;27011;23888;22514;16861;21276;21693;21744;20437;21588;22317;21219;22260;20646;19111;19964;14579;21361;20263;19204;17647;20450;21870;20012;22542;22172;20272;20607;15086;21146;19867;19450;20911;22255;21514;22135;26809;24787;22886;21012;16077;20662;23802;18356;20211;23611;22122;23839;28637;25479;24558;23653;16912;
PB;25;Paraíba;11886;11446;12017;12647;12804;11509;12421;19946;13725;12783;12849;9255;12910;12507;11159;12453;13867;11778;13103;17397;18035;14976;13821;7877;14696;15335;12307;14150;13852;12502;15511;18767;14696;14724;13922;11146;13572;13347;12711;11805;11299;10236;10926;16324;12581;10394;10166;7180;11540;8712;10449;9260;8773;9124;10027;15792;9005;8832;9018;6826;10500;9499;8615;7852;8808;8751;10217;13361;10252;9227;9296;7148;9695;11163;9595;9547;9100;9115;10654;16914;10287;10061;9336;7515;9075;10607;8701;10025;10013;9505;12015;16710;11527;11695;10856;8196;
PE;26;Pernambuco;46731;42273;49691;47869;51328;52919;48390;55592;62586;53226;49151;35805;46212;44010;43011;47844;47142;47742;47057;54226;73270;57684;49544;33103;48462;50169;41909;50552;48913;43839;46579;51867;65086;50480;46756;35389;39077;37382;40906;39198;37497;35614;35269;38999;52583;35293;32078;24046;28648;26584;30361;31775;28769;28933;30876;41281;44323;29202;29744;24228;29531;27739;29119;25750;29991;30600;28556;35927;42066;36056;30329;25940;29428;26965;29907;30163;30462;28351;28612;41284;46984;30166;32346;22810;29169;30408;27363;31001;31630;28834;30016;41334;48820;36089;32802;24737;
PI;22;Piauí;8768;8094;9178;7713;8181;9670;9513;9749;8314;8293;8952;5972;8376;7990;8601;9247;10526;10026;10335;10542;10229;10144;8829;5401;9087;10081;9629;11284;10052;9873;10237;11064;10142;9959;10165;7618;9150;9786;10761;10183;9587;9770;9357;10979;10352;7881;8957;6294;7476;7059;7581;7802;7079;9024;7417;8167;6772;6994;7544;5204;7434;8369;7262;6568;7517;8500;7042;7799;7190;8071;7523;5457;6562;7419;7689;7129;7463;7421;7118;7665;7619;7326;6435;6233;6593;8056;6506;6828;9069;8599;7972;9284;8460;8118;7437;5274;
PR;41;Paraná;135425;137609;149073;138133;130741;124777;129959;137481;124548;129864;122715;82268;140648;142115;148898;150671;137870;130785;135800;140547;134291;135686;118566;76405;138126;158652;141422;140935;135238;118531;132921;128788;132769;129047;119271;79879;125799;132532;135763;115320;108892;104739;103841;97746;92963;90163;84227;62389;92121;102227;105163;93109;88167;87374;85457;91873;82116;83039;81305;63065;92349;100961;101659;85932;92293;85906;86847;92693;86000;87052;83171;64710;98120;102638;103997;97891;94579;82293;93219;104237;91491;97041;88497;71641;104415;119378;99248;104601;99461;90992;101379;104978;97884;104617;96296;74787;
RJ;33;Rio de Janeiro;141614;146078;158597;149663;151703;151143;156863;157780;143311;144999;147555;124848;149321;146122;166080;164647;163470;158044;154188;160463;156174;162548;148578;106040;142107;171432;147797;159722;165735;147219;150944;155348;155372;151041;151111;120772;125151;133504;156934;127989;128294;129821;122352;124244;120150;109497;110902;95729;97678;99528;119498;110532;102302;105526;110559;101910;99398;88614;96150;83728;89180;92896;89419;86142;90267;88013;87179;93997;90975;84538;89964;81064;88620;91076;98636;94279;91089;85739;88977;97312;89609;91565;96514;87174;92505;104002;91107;94226;95929;93864;99901;106616;101718;95198;100232;84650;
RN;24;Rio Grande do Norte;15237;13658;15586;14719;14367;15866;16712;18030;17640;14768;16134;12161;15457;14252;15075;15968;15597;16075;16715;18687;18332;16797;16462;12299;17915;17253;14809;17122;16691;15670;17928;20216;17767;16944;16597;12968;15159;13635;14897;13597;13672;13941;13727;14483;14493;12173;12087;9017;11097;10290;11947;10770;10748;11297;11725;14356;12316;10795;10617;8992;11737;10872;11662;10667;11730;11944;11731;14166;12157;10966;10380;9028;11680;9482;11184;11326;11005;11750;11937;15797;11815;12627;12009;9808;12094;11845;10236;11328;11234;11452;13174;15264;13344;13352;11606;9999;
RO;11;Rondônia;13236;13348;12685;11489;14214;14737;14646;13772;11926;12493;12934;8527;11809;12751;11980;12629;13099;12261;14295;13438;11908;12395;10815;7536;10953;12011;11442;11599;13639;12100;14094;13217;12055;12428;12103;8198;10665;11494;11190;10677;10850;10476;11221;11257;10393;8808;8561;6622;8487;9116;9415;8661;8327;8701;8302;9042;7732;6922;6913;5596;7685;8479;8008;7080;8155;8231;8960;8968;8466;8227;7610;5920;8472;9233;8707;8508;8876;7493;9088;9029;8495;8289;7710;6328;8529;9612;8685;8943;9336;9082;10637;9909;9034;9023;8308;6694;
RR;14;Roraima;1420;1719;1881;1583;1415;1646;2274;1894;1809;1929;1756;1101;1792;1909;1673;1860;1655;1652;2201;2011;1901;1408;1760;1145;1725;1917;2014;2236;2013;1908;2284;1950;2373;1922;2120;1699;2153;2109;2053;1849;1787;2022;2048;2052;1830;1791;1827;1553;1657;1477;2069;1619;1646;1640;1654;1674;1667;1603;1670;1257;1827;1815;1690;1599;1937;1676;1536;1957;1720;1760;1512;1282;1635;1543;1602;1715;1652;1420;1373;1641;1792;1782;1662;1316;1757;1515;1879;2040;1992;1797;1820;1970;2064;2067;2291;1595;
RS;43;Rio Grande do Sul;130481;130048;151636;128760;119684;113522;118762;127410;110240;124643;125766;89544;143097;139771;154763;142252;126528;119784;125030;131467;121848;132139;123489;82450;135097;158081;148944;139116;125761;111040;118965;119353;121048;122429;121216;85298;122155;122804;140628;109190;97574;93873;88561;90666;85651;82687;85688;66488;92552;102751;110781;88505;77240;77060;75082;84790;73474;79069;80447;62341;93054;98216;107379;81342;79713;73477;79592;86734;75819;84447;86723;65035;99961;101843;109755;92019;83192;76643;83025;88380;77376;92278;87418;67794;100816;114853;105841;95638;84923;78796;88754;87241;81574;93649;90678;70161;
SC;42;Santa Catarina;110820;118650;116914;99033;96261;88326;92488;98431;91048;103395;93380;64082;117192;118662;112416;112679;101675;95678;100274;104540;100433;110607;95713;60148;117980;137524;117728;110956;103238;91100;99315;101151;102628;106467;99071;65585;112607;119862;110794;90823;82849;79794;75791;77631;74839;74446;67105;53059;82083;94209;85830;74376;69051;64735;64727;73122;67884;69505;67811;52484;83437;92765;83737;68039;74184;68777;71592;80420;73771;77772;73038;58469;91958;99705;87218;82502;75650;67088;75432;82938;75515;86493;79702;61702;101378;111030;88362;87927;84364;74906;84428;85943;87062;94451;85961;65283;
SE;28;Sergipe;10619;9782;10604;8809;9223;9870;10195;11204;9908;13042;10327;6941;9574;9097;10706;11857;9548;9721;10883;10913;10956;14827;11705;6706;10414;10408;10424;11432;10828;9344;10007;10441;13974;10883;10830;7570;8899;8909;9556;8965;8366;8477;7910;9309;10296;9672;7690;6223;6849;6377;7263;6624;6506;7000;5874;7803;6192;9157;7233;4725;7224;6455;6087;5617;6695;7474;6174;6763;5796;11008;6700;4954;6944;6325;7093;6485;6409;6244;6617;6969;9613;8667;6430;5037;6682;7267;6017;6461;7079;6217;6187;6937;9425;9096;7519;5818;
SP;35;São Paulo;519808;555658;589981;575841;564454;521278;531446;554720;491797;519632;477977;366466;544161;552968;568798;609350;556303;534328;523466;557491;531888;541558;474643;326387;543291;614349;542277;577764;554904;491649;514230;519175;505464;506441;468102;345300;485211;504269;520924;476032;450590;433967;414833;414800;380601;368854;351328;267794;365616;394638;424747;385653;369755;365766;347580;371565;332747;329874;330127;257016;365054;380776;387404;361877;382450;363007;354822;376660;338469;353787;327554;275505;389345;395910;425778;414271;393102;361390;363996;408138;357621;387367;358534;289297;401759;449969;385802;442494;417920;389627;396713;413768;398189;412056;396882;294787;
TO;17;Tocantins;5909;6166;6047;5663;6363;6028;5630;6861;4743;5131;4681;3403;5805;5827;5158;6246;5585;5563;5828;7066;5798;6316;4968;3253;6139;6852;6009;6493;7104;7140;8505;7965;7523;6614;6410;4046;6318;7737;7012;6572;6401;6654;6163;6763;5774;5595;5152;3739;5104;5232;5613;5326;5136;5547;5188;6008;4597;4810;4817;3578;5124;5637;5371;4836;5680;5695;4930;6725;5214;5419;5271;3826;5671;5642;5666;5486;6717;5680;5451;6124;5945;5963;5086;4108;5761;6474;5255;5563;5763;5183;5767;6306;5864;5798;5211;3924;
